,Area,BHK,Bathroom,Locality,Price
418,765.0,3,2.0,Dwarka Mor,3800000
419,4688.0,5,4.0,"The Leela Sky Villas, Patel Nagar",135000000
420,3901.0,4,4.0,"The Leela Sky Villas, Patel Nagar",93000000
421,70.0,2,3.0,other,8200000
422,800.0,3,2.0,Patel Nagar West,8000000
423,900.0,3,2.0,Patel Nagar West,9500000
424,1680.0,4,5.0,Patel Nagar West,20000000
425,900.0,2,2.0,Patel Nagar West,7400000
426,2000.0,3,3.0,"Patel Nagar East, Patel Nagar",37500000
427,2000.0,4,4.0,Patel Nagar West,15000000
428,1900.0,3,3.0,"The Leela Sky Villas, Patel Nagar",55300000
429,1530.0,3,3.0,"Patel Nagar East, Patel Nagar",26500000
430,100.0,3,2.0,"Patel Nagar East, Patel Nagar",16000000
431,900.0,3,2.0,Patel Nagar West,10400000
432,270.0,1,1.0,Patel Nagar West,1700000
433,950.0,2,2.0,Patel Nagar West,8000000
434,1800.0,3,3.0,"Patel Nagar East, Patel Nagar",27000000
435,1500.0,3,3.0,Patel Nagar West,19500000
436,1800.0,3,3.0,"Patel Nagar East, Patel Nagar",50000000
437,1800.0,3,3.0,Patel Nagar West,21100000
438,2306.0,3,3.0,"The Leela Sky Villas, Patel Nagar",57000000
439,850.0,2,3.0,Patel Nagar West,5900000
440,140.0,3,2.0,other,12000000
441,900.0,3,2.0,Patel Nagar West,12000000
442,1800.0,3,3.0,Patel Nagar West,24000000
443,200.0,1,1.0,"Patel Nagar East, Patel Nagar",7000000
444,1782.0,3,3.0,"Patel Nagar East, Patel Nagar",15000000
445,900.0,2,2.0,"Baljit Nagar, Patel Nagar",1500000
446,405.0,2,1.0,Patel Nagar West,3950000
447,1500.0,3,3.0,Patel Nagar West,12500000
448,66.0,3,1.0,"Baljit Nagar, Patel Nagar",1600000
449,2000.0,4,4.0,other,36500000
450,1200.0,3,2.0,other,20000000
451,1100.0,2,2.0,Vasant Kunj,15000000
452,1400.0,3,2.0,Vasant Kunj,25000000
453,1600.0,3,2.0,"DDA Flats Vasant Kunj, Vasant Kunj",18500000
454,1600.0,4,3.0,other,23500000
455,600.0,1,1.0,Vasant Kunj,8000000
456,1600.0,3,2.0,other,23000000
457,2000.0,3,3.0,"DDA Flats Vasant Kunj, Vasant Kunj",31000000
458,650.0,1,2.0,"DDA Flats Sector E Pocket 1, Vasant Kunj",7400000
459,1100.0,2,2.0,Vasant Kunj,15500000
460,1075.0,2,2.0,"DDA Flats Sector E Pocket 1, Vasant Kunj",12000000
461,1450.0,3,2.0,other,23500000
462,1200.0,3,2.0,other,25000000
463,600.0,1,2.0,other,7000000
464,1000.0,2,2.0,"DDA Flats Vasant Kunj, Vasant Kunj",17500000
465,1600.0,3,2.0,"Ganga Apartment Sector D Pocket 6, Vasant Kunj",25000000
466,1750.0,4,4.0,Vasant Kunj Sector C,29000000
467,1300.0,3,3.0,"DDA Flats Sector E Pocket 1, Vasant Kunj",21900000
468,550.0,1,2.0,other,7500000
469,2200.0,4,3.0,other,23500000
470,1100.0,2,2.0,Vasant Kunj Sector C,24000000
471,1700.0,3,2.0,Vasant Kunj,31000000
472,1100.0,2,2.0,Vasant Kunj,16500000
473,1000.0,2,2.0,other,5000000
474,1350.0,3,2.0,other,24000000
475,1184.0,2,2.0,"Ganga Apartment Sector D Pocket 6, Vasant Kunj",17000000
476,2000.0,4,2.0,other,40000000
477,3500.0,4,4.0,Vasant Kunj,22500000
478,900.0,3,3.0,Vasant Kunj,20000000
479,4688.0,5,4.0,"The Leela Sky Villas, Patel Nagar",135000000
480,750.0,2,2.0,"J R Designers Floors, Rohini Sector 24",5000000
481,3901.0,4,4.0,"The Leela Sky Villas, Patel Nagar",93000000
482,950.0,3,2.0,"Uttam Nagar Floors, Uttam Nagar",4370000
483,1000.0,3,2.0,"Virat Residency, Dwarka Mor",4620000
484,850.0,2,1.0,"Siddhartha Heights, Dwarka Sector 24",1900000
485,2400.0,4,4.0,"Find Homes, Greater Kailash 2",70000000
486,1350.0,3,2.0,"MTNL Employees House Welfare Society, Dwarka Sector 24",5130000
487,540.0,2,2.0,"Adarsh Homes, Dwarka Mor",3000000
488,1387.0,4,4.0,"Delhi Homes Yojana, Dwarka Sector 24",5890000
489,540.0,2,2.0,"Kushwaha Homes, Uttam Nagar",3300000
490,976.0,2,2.0,"Godrej South Estate, Okhla",24900000
491,1050.0,3,2.0,"The Elite Spire, Dwarka Sector 21",3700000
492,2700.0,4,3.0,"APL Builder Floor, Greater Kailash 1",60000000
493,1500.0,3,2.0,"Kunj Vihar Apartment, Dwarka Sector 12",17400000
494,2900.0,5,5.0,Janakpuri Block A3,51000000
495,5025.0,5,6.0,Greater Kailash 2,170000000
496,1000.0,3,2.0,"Partap Homes, Bhagwati Vihar, Uttam Nagar",5510000
497,1135.0,3,3.0,"The Amaryllis, Karol Bagh",25000000
498,2306.0,3,3.0,"The Leela Sky Villas, Patel Nagar",57000000
499,850.0,2,2.0,"Diamond Heights Multi Estate, Najafgarh",2940000
500,1200.0,3,3.0,"Ashirwad Apartments, Dwarka Sector 12",15500000
501,1700.0,3,2.0,"Sunny Valley Apartments, Dwarka",17200000
502,1800.0,4,3.0,"Vasant Vihar Builder Floor, Vasant Vihar",55000000
503,1100.0,2,2.0,Vasant Kunj,15000000
504,22050.0,4,4.0,Greater Kailash 1,51000000
505,1550.0,4,3.0,Rohini Sector 24,13000000
506,1600.0,3,3.0,Greater Kailash 1,30000000
507,700.0,2,2.0,"Khanpur, Madangir",2400000
508,45.0,4,3.0,"Batla House, Okhla",5500000
509,450.0,2,2.0,"Gandhi Nagar, Shahdara",2900000
510,540.0,5,2.0,"Gandhi Nagar, Shahdara",17000000
511,1350.0,3,3.0,"Gandhi Nagar, Shahdara",25000000
512,2250.0,3,2.0,"Gandhi Nagar, Shahdara",10000000
513,1250.0,2,1.0,other,7500000
514,504.0,3,1.0,"Seelampur, Shahdara",3600000
515,65.0,3,2.0,other,35000000
516,450.0,2,1.0,"Seelampur, Shahdara",6000000
517,1800.0,4,2.0,other,17500000
518,1800.0,4,3.0,other,35000000
519,1530.0,5,2.0,other,10200000
